Player,LR Predicted Score,RF Predicted Score,XGB Predicted Score,NN Predicted Score,Bayesian Predicted Score
Alonzo Coleman,-0.83,0.02,0.0,0.36,-0.84
Alonzo Harris,-0.81,0.04,0.05,0.36,-0.82
Alonzo Highsmith,5.13,1.62,0.12,1.05,5.11
Alonzo Johnson,-0.81,0.02,0.0,0.38,-0.81
Alonzo Mayes,0.1,0.19,0.06,1.1,0.1
Alonzo Russell,-0.83,0.02,0.0,0.36,-0.84
Alonzo Williams,-0.83,0.06,0.28,0.36,-0.84
Alshon Jeffery,16.26,19.8,19.23,16.44,16.26
Altie Taylor,16.86,9.74,7.28,15.98,16.85
Alton Alexis,-0.83,0.02,0.0,0.36,-0.84
Alvin Blount,0.67,0.03,-0.04,0.6,0.66
Alvin Garrett,0.3,0.17,-0.55,0.6,0.29
Alvin Harper,7.06,5.5,3.14,6.52,7.07
Alvin Hooks,-0.83,0.02,0.0,0.36,-0.84
Alvin Kamara,41.22,57.38,43.28,46.83,41.22
Alvin Maxson,5.21,1.05,0.9,1.55,5.21
Alvin Mitchell,-0.82,0.02,0.0,0.37,-0.83
Alvin Moore,4.23,0.26,0.95,1.2,4.22
Alvin Pearman,0.82,0.05,0.01,0.95,0.82
Alvin Reed,1.08,0.69,0.65,1.81,1.07
Alvin Ross,-0.3,0.03,0.11,0.47,-0.31
Alvis Whitted,2.38,1.82,1.28,2.89,2.38
Amani Toomer,22.82,20.42,15.54,23.36,22.83
Amara Darboh,-0.66,0.03,-0.01,0.46,-0.66
Amari Cooper,22.45,23.72,18.35,25.62,22.45
Amari Rodgers,-0.23,0.06,0.01,0.69,-0.24
Ameer Abdullah,8.41,2.01,2.15,4.1,8.42
Amod Field,-0.83,0.02,0.0,0.36,-0.84
Amon-Ra St. Brown,11.55,18.71,38.27,9.79,11.53
Amos Fowler,-0.83,0.02,0.0,0.36,-0.84
Amos Lawrence,0.15,0.07,-0.02,0.3,0.15
Amos Zereoue,6.87,1.94,5.05,4.45,6.88
Amp Lee,10.74,2.65,-1.31,6.1,10.75
Andra Franklin,11.46,10.22,13.51,7.96,11.44
Andrae Thurman,-0.62,0.03,-0.01,0.49,-0.62
Andre Baccellia,-0.7,0.02,0.0,0.44,-0.7
Andre Brown,5.5,0.69,0.63,2.46,5.49
Andre Caldwell,4.22,2.41,1.81,4.34,4.22
Andre Coleman,0.77,0.34,0.19,1.59,0.77
Andre Cooper,-0.6,0.03,-0.01,0.5,-0.61
Andre Ellington,7.68,1.82,2.43,4.27,7.69
Andre Hall,0.26,0.03,0.02,0.51,0.26
Andre Hardy,-0.6,0.03,-0.05,0.32,-0.61
Andre Hastings,8.13,5.88,2.63,7.75,8.14
Andre Holmes,4.4,1.37,0.83,4.12,4.4
Andre Johnson,31.05,30.56,40.68,33.9,31.07
Andre King,-0.22,0.3,0.31,0.87,-0.22
Andre Patton,-0.6,0.03,-0.01,0.5,-0.61
Andre President,-0.83,0.02,0.0,0.36,-0.84
Andre Reed,22.89,21.32,23.66,22.02,22.91
Andre Rison,23.11,28.44,34.03,25.7,23.11
Andre Roberts,7.67,6.49,5.68,7.69,7.67
Andre Smith,-0.83,0.02,0.0,0.36,-0.84
Andre Thomas,-0.81,0.02,0.01,0.37,-0.81
Andre Tillman,0.19,0.2,0.14,1.2,0.18
Andre Tyler,-0.64,0.02,-0.03,0.36,-0.64
Andre Ware,-0.97,0.03,0.04,0.32,-0.95
Andre Williams,3.71,1.54,0.42,1.64,3.71
Andre' Anderson,-0.83,0.02,0.0,0.36,-0.84
Andre' Davis,5.26,3.2,-0.77,4.78,5.26
Andrei Iosivas,1.48,0.38,-0.05,1.46,1.48
Andrew Beck,0.47,0.06,-0.29,0.77,0.46
Andrew Glover,6.28,2.58,1.95,5.5,6.28
Andrew Hawkins,4.9,5.4,3.9,5.43,4.91
Andrew Jackson,-0.16,0.03,0.02,0.47,-0.17
Andrew Jones,-0.1,0.03,0.06,0.46,-0.1
Andrew Jordan,1.67,1.4,0.68,2.49,1.67
Andrew Luck,17.61,23.96,16.07,12.42,17.33
Andrew Ogletree,-0.01,0.05,-0.04,0.69,-0.02
Andrew Pinnock,-0.72,0.03,0.09,0.39,-0.72
Andrew Quarless,1.79,0.61,-0.21,2.35,1.78
Andrew Turzilli,-0.81,0.02,0.0,0.38,-0.81
Andrew Walter,-3.02,0.03,-0.01,0.33,-2.9
Andy Bolton,-0.56,0.04,-0.05,0.25,-0.57
Andy Dalton,19.67,13.96,19.16,19.39,19.64
Andy Ekern,-0.83,0.02,0.0,0.36,-0.84
Andy Gibler,-0.83,0.02,0.0,0.36,-0.84
Andy Haase,-0.81,0.02,0.0,0.38,-0.81
Andy Hamilton,-0.62,0.03,-0.01,0.49,-0.62
Andy Hopkins,-0.83,0.02,0.0,0.36,-0.84
Andy Isabella,0.25,0.21,0.14,0.99,0.25
Andy Janovich,1.58,0.06,-0.1,1.22,1.58
Andy Johnson,10.47,4.5,5.3,5.12,10.43
Andy Jones,-0.39,0.03,-0.04,0.54,-0.4
Andy Livingston,-0.82,0.06,0.15,0.35,-0.83
Andy McCullough,-0.75,0.02,0.0,0.4,-0.76
Andy Parker,-0.72,0.02,0.0,0.42,-0.73
Andy Reid,-0.83,0.02,0.0,0.36,-0.84
Andy Schillinger,-0.83,0.02,0.0,0.36,-0.84
Andy Thorn,-0.83,0.02,0.0,0.36,-0.84
Anquan Boldin,32.91,33.77,31.25,38.19,32.92
Anthony Allen,0.64,0.21,0.08,0.89,0.63
Anthony Anderson,-0.23,0.03,-0.04,0.36,-0.24
Anthony Armstrong,1.42,1.32,1.12,2.04,1.41
Anthony Becht,5.65,2.62,1.38,4.88,5.64
Anthony Bright,-0.79,0.02,0.0,0.38,-0.8
Anthony Brown,-1.32,0.02,0.06,0.35,-1.3
Anthony Carter,9.81,9.67,6.35,8.88,9.82
Anthony Corley,-0.8,0.03,0.03,0.33,-0.81
Anthony Daigle,-0.83,0.02,0.0,0.36,-0.84
Anthony Davis,0.4,0.08,-0.02,0.21,0.4
Anthony Denham,-0.83,0.02,0.0,0.36,-0.84
Anthony Dilweg,0.62,0.14,0.44,0.23,0.61
Anthony Dixon,4.75,0.73,0.12,1.89,4.74
Anthony Edwards,2.8,1.38,0.08,3.11,2.79
Anthony Fasano,9.78,8.81,22.45,9.63,9.76
Anthony Firkser,1.84,3.75,3.73,2.54,1.84
Anthony Gonzalez,1.9,0.64,0.58,2.34,1.9
Anthony Gould,-0.82,0.02,0.0,0.37,-0.83
Anthony Hancock,0.74,0.2,0.01,1.28,0.73
Anthony Hill,-0.77,0.02,0.0,0.4,-0.77
Anthony Hutchison,0.2,0.03,0.04,0.49,0.2
Anthony Johnson,9.97,6.12,2.52,6.78,9.99
Anthony Jones,-0.78,0.02,0.0,0.39,-0.78
Anthony Ladd,-0.7,0.02,0.0,0.44,-0.7
Anthony Lynn,-0.7,0.03,0.02,0.33,-0.7
Anthony McCoy,0.22,0.16,-0.03,0.96,0.22
Anthony McDowell,0.93,0.43,0.01,1.46,0.92
Anthony McFarland Jr.,-0.59,0.06,-0.17,0.42,-0.59
Anthony Miller,22.35,23.1,23.96,23.61,22.36
Anthony Mix,-0.77,0.02,0.0,0.4,-0.77
Anthony Morgan,2.4,1.56,-0.15,2.27,2.39
Anthony Mosley,-0.78,0.03,0.03,0.35,-0.78
Anthony Richardson,3.22,0.44,0.1,1.81,3.26
Anthony Schwartz,0.21,0.05,-0.04,0.74,0.21
Anthony Sherman,1.3,0.42,-0.0,1.51,1.3
