Player,Season,Passing Yds,Passing Tds,Rushing Yds,Rushing Tds,Receiving Yds,Receiving Tds,VBD
Les Shy,1970,0,0,13,0,2,3,0
Ken Stabler,1970,52,0,-4,0,0,1,0
Hubert Ginn,1970,0,0,-1,0,0,2,0
John Huarte,1970,0,0,0,0,0,0,0
Danny Pierce,1970,0,0,6,0,1,3,0
Billy Walik,1970,0,0,0,0,1,3,0
Don Gault,1970,67,0,0,0,0,1,0
Paul Warfield,1971,0,0,115,0,43,3,118
Otis Taylor,1971,0,0,25,1,57,0,104
Greg Landry,1971,2237,16,530,3,0,5,102
Steve Owens,1971,0,0,1035,8,32,5,89
Fred Biletnikoff,1971,0,0,0,0,61,1,86
Randy Vataha,1971,0,0,0,0,51,0,80
Roger Staubach,1971,1882,15,343,2,0,6,73
Leroy Kelly,1971,23,0,865,10,25,7,71
John Hadl,1971,3075,21,75,1,0,4,71
Floyd Little,1971,0,0,1133,6,26,4,63
Duane Thomas,1971,0,0,793,11,13,3,62
Bob Grim,1971,0,0,127,0,45,0,60
Larry Csonka,1971,0,0,1051,7,13,0,56
Ted Kwalick,1971,0,0,62,0,52,2,56
Bob Tucker,1971,0,0,1,0,59,3,55
John Brodie,1971,2642,18,45,3,0,3,51
Jim Mitchell,1971,0,0,25,0,33,3,49
Terry Bradshaw,1971,2259,13,247,5,0,7,48
Roman Gabriel,1971,2238,17,48,2,0,9,47
Jim Plunkett,1971,2158,19,210,0,0,6,47
Gene Washington,1971,0,0,0,0,12,1,0
Ken Burrow,1971,0,0,5,0,33,1,44
Charlie Joiner,1971,0,0,0,0,31,1,44
Norm Bulaich,1971,0,0,741,8,25,4,43
Bob Griese,1971,2089,19,82,0,0,9,42
Dave Parks,1971,0,0,-2,0,35,0,40
Raymond Chester,1971,0,0,5,0,28,0,40
George Farmer,1971,0,0,11,0,46,1,38
Ed Podolak,1971,42,0,708,9,36,5,36
John Brockington,1971,0,0,1105,4,14,4,35
John Gilliam,1971,0,0,16,0,42,2,35
Rich Caster,1971,0,0,10,0,26,0,35
Vic Washington,1971,0,0,811,3,36,10,34
Ron Shanklin,1971,0,0,1,0,49,1,34
Lance Rentzel,1971,0,0,113,1,38,2,32
Charlie Sanders,1971,0,0,0,0,31,0,32
Larry Brown,1971,0,0,948,4,16,6,31
Donny Anderson,1971,9,1,757,5,26,6,29
Fran Tarkenton,1971,2567,11,111,3,0,4,29
Bo Scott,1971,0,0,606,9,30,4,28
Willie Ellison,1971,0,0,1000,4,32,8,28
Len Dawson,1971,2504,15,24,0,0,8,28
Roy Jefferson,1971,0,0,13,0,47,0,28
Dave Smith,1971,0,0,-10,0,47,1,27
Harold Jackson,1971,0,0,41,0,47,1,25
Billy Kilmer,1971,2221,13,5,2,0,2,24
Marlin Briscoe,1971,36,0,0,0,44,0,24
Marv Hubbard,1971,0,0,867,5,22,4,23
Billy Parks,1971,0,0,77,0,41,2,23
Bob Trumpy,1971,0,0,0,0,40,0,22
Rich McGeorge,1971,0,0,0,0,27,0,21
Calvin Hill,1971,0,0,468,8,19,2,20
Milt Morin,1971,0,0,1,0,40,2,19
John Fuqua,1971,0,0,625,4,49,4,18
Carroll Dale,1971,0,0,0,0,31,0,15
Ken Willard,1971,0,0,855,4,27,8,14
Mel Gray,1971,0,0,56,0,18,1,13
Mike Garrett,1971,53,0,591,4,41,6,12
Jackie Smith,1971,0,0,10,0,21,0,12
Art Malone,1971,0,0,438,6,34,5,11
Jim Kiick,1971,0,0,738,3,40,1,11
Larry Walton,1971,0,0,-7,0,30,1,7
Fred Willis,1971,8,0,590,7,24,3,6
Altie Taylor,1971,0,0,736,4,26,11,5
Bruce Coslet,1971,0,0,0,0,21,3,5
Frank Pitts,1971,0,0,0,0,27,0,2
O.J. Simpson,1971,0,0,742,5,21,5,0
Pete Banaszak,1971,0,0,563,8,13,3,0
Essex Johnson,1971,0,0,522,4,14,1,0
John Riggins,1971,0,0,769,1,36,6,0
Bobby Anderson,1971,48,0,533,3,37,6,0
Carl Garrett,1971,0,0,784,1,22,8,0
MacArthur Lane,1971,0,0,592,3,29,2,0
